current_path,status,destination,action,notes
docs/features/job-system.md,complete,docs/features/job-system.md,keep,"Comprehensive job system documentation - newly created"
docs/current-status.md,complete,docs/current-status.md,keep,"Accurate current status based on codebase audit - newly created"
README.md,complete,docs/README.md,keep,"Production-ready main documentation"
CLAUDE.md,complete,docs/CLAUDE.md,keep,"Project instructions, well-structured"
_2do.md,outdated,docs/archive/roadmap-outdated.md,archive,"Plans don't match codebase reality"
_test.md,updated,docs/testing/framework.md,move,"Recently updated, good test specs"
_echo.md,draft,docs/archive/echo-analysis.md,archive,"Package consumption analysis, outdated"
_claude-cli.md,current,docs/testing/e2e-claude-code.md,move,"E2E testing documentation"
tooling.md,draft,docs/archive/tooling-integration.md,archive,"External toolchain specs, incomplete"
docs/ARCHITECTURE.md,complete,docs/architecture/core-system.md,move,"Strong foundational architecture"
docs/KNOWLEDGE_GRAPH.md,current,docs/architecture/knowledge-graph.md,keep,"Graph documentation"
docs/adr/001-session-intelligence.md,complete,docs/adr/001-session-intelligence.md,keep,"ADR sequence intact"
docs/adr/002-template-propagation.md,complete,docs/adr/002-template-propagation.md,keep,"ADR sequence intact"
docs/adr/003-claude-code-integration.md,complete,docs/adr/003-claude-code-integration.md,keep,"ADR sequence intact"
docs/adr/004-distributed-intelligence.md,complete,docs/adr/004-distributed-intelligence.md,keep,"ADR sequence intact"
docs/adr/005-implementation-roadmap.md,complete,docs/adr/005-implementation-roadmap.md,keep,"ADR sequence intact"
docs/adr/006-command-naming-strategy.md,complete,docs/adr/006-command-naming-strategy.md,keep,"ADR sequence intact"
docs/adr/007-aci-optimization-feature-flag.md,complete,docs/adr/007-aci-optimization-feature-flag.md,keep,"ADR sequence intact, research-backed"
docs/features/done/README.agent.md,obsolete,docs/archive/features/agent-readme.md,archive,"Moved to features/done"
docs/features/done/QUICK-REFERENCE.md,obsolete,docs/archive/features/quick-reference.md,archive,"Moved to features/done"
docs/features/done/CLAUDE-COMMANDS.md,obsolete,docs/archive/features/claude-commands.md,archive,"Moved to features/done"
docs/features/done/AGENT_GUIDE.md,obsolete,docs/archive/features/agent-guide.md,archive,"Moved to features/done"
_lev/00-constitutional-update-summary.md,theoretical,docs/research/constitutional-framework/summary.md,research,"Constitutional framework - sophisticated AI research"
_lev/01-fractal-package-system.md,theoretical,docs/research/constitutional-framework/fractal-system.md,research,"Constitutional framework - sophisticated AI research"
_lev/02-context-promotion-flow.md,theoretical,docs/research/constitutional-framework/context-promotion.md,research,"Constitutional framework - sophisticated AI research"
_lev/03-community-sharing-design.md,theoretical,docs/research/constitutional-framework/community-sharing.md,research,"Constitutional framework - sophisticated AI research"
_lev/04-implementation-roadmap.md,theoretical,docs/research/constitutional-framework/implementation.md,research,"Constitutional framework - sophisticated AI research"
_lev/05-constitutional-framework-evolution.md,theoretical,docs/research/constitutional-framework/framework-evolution.md,research,"Neurochemical optimization system - active research"
_lev/06-session-summary-context-consolidation.md,theoretical,docs/research/constitutional-framework/session-summary.md,research,"Constitutional framework - sophisticated AI research"
_lev/07-manual-consolidation-plan.md,theoretical,docs/research/constitutional-framework/consolidation-plan.md,research,"Constitutional framework - sophisticated AI research"
_lev/08-complete-release-roadmap.md,theoretical,docs/research/constitutional-framework/release-roadmap.md,research,"Constitutional framework - sophisticated AI research"
_lev/09-current-status-and-next-steps.md,theoretical,docs/research/constitutional-framework/status.md,research,"Status from constitutional framework research"
drafts/parallel-coordination-system.md,draft,docs/research/system-designs/parallel-coordination.md,research,"Active system design research"
drafts/git-worktree-parallel-setup.md,draft,docs/archive/drafts/git-worktree.md,archive,"Git workflow draft"
drafts/trace.md,draft,docs/archive/drafts/trace.md,archive,"Trace system draft"
drafts/bi-directional-intelligence-plan.md,draft,docs/research/system-designs/bi-directional-intelligence.md,research,"Active intelligence system research"
drafts/hybrid-command-architecture.md,draft,docs/architecture/hybrid-commands.md,move,"Hybrid command design - implemented"
drafts/command-analytics-system.md,draft,docs/research/system-designs/command-analytics.md,research,"Active analytics system research"
drafts/complete-command-system-overhaul.md,draft,docs/archive/drafts/command-overhaul.md,archive,"System overhaul draft"
drafts/coo.md,draft,docs/archive/drafts/coo.md,archive,"COO system draft"
drafts/web-exposure-plan.md,draft,docs/archive/drafts/web-exposure.md,archive,"Web platform draft"